;id;comments;category
144;18;Wat een leuk meisje heb je! :red_heart:️;0.0
145;18;Motherhood looks so good on you:red_heart:️;1.0
146;18;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
147;18;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
148;18;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
149;18;Such a blessing :sparkling_heart:;1.0
150;18;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️ :smiling_face_with_heart-eyes:;1.0
151;19;The table :smiling_face_with_heart-eyes:;1.0
152;19;:clapping_hands:;1.0
153;19;:red_heart:️:red_heart:️:red_heart:️;1.0
154;19;@doina :white_heart::white_heart::white_heart:;1.0
155;20;🩵;0.0
156;20;🫶🫶;0.0
157;20;Love the Ganni coat! What size did you go with? :black_heart:;1.0
158;20;Love this first outfit :blue_heart:;1.0
159;20;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
160;20;The coat :heart_on_fire::heart_on_fire:;1.0
161;20;:red_heart:️;1.0
162;20;:red_heart:️:red_heart:️:red_heart:️;1.0
163;20;So cool :fire:;1.0
164;20;@francesshoemack :white_heart::white_heart:;1.0
165;21;:clapping_hands:;1.0
166;21;:clapping_hands::clapping_hands::clapping_hands:;1.0
167;21;AMO TE 🩷;1.0
168;21;Linda;0.0
169;21;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️;1.0
170;21;Hey Gisele im Paul xxxxxxxx;0.0
171;21;:clapping_hands::clapping_hands::clapping_hands:;1.0
172;21;:red_heart:️:red_heart:️:red_heart:️:red_heart:️;1.0
173;21;:blue_heart:;1.0
174;22;How are you not embarrassed to hear someone keep telling you to stop copying Everything that I do @gisele. I removed the comments because I thought you were going to stop. You have no self control, no respect, no identity, and no shame!!!;0.0
175;22;Stop;0.0
176;22;Stop;0.0
177;22;This is plagiarism and you are dangerously close to getting a lawsuit. This is your warning to stop @gisele;0.0
178;22;Hello from Bulgaria;0.0
179;22;And its only by faith that you trust me.Thats with anyone.If your familiar with the Bible Gisele then it sais somewhere in it to not lean on your own understanding but Lean on Gods understanding.The most common thing for celebrities to do is to lean on thete own understanding because they assume its there own works that elevate them in a higher position than others.No mortal is higher than me Gisele.Im sorry to break it to you.A correct marriage stands as The man ahead of the household.the woman under him then the chillins or children;0.0
180;23;Que legal. Sonho de relação familiar em qualquer lugar!! Parabéns @gisele;0.0
181;23;:red_heart::red_heart::red_heart::red_heart:;1.0
182;23;"~ this is the greatest gift. 
no other material need even comes close. 🫶:light_skin_tone:
thank you for spreading love✌:light_skin_tone:";0.0
183;23;Your Mom is very Beautiful too! Hope it was great for both of you!:red_heart:️:red_heart:️:red_heart:️;1.0
184;23;:red_heart:️:red_heart:️:red_heart:️;1.0
185;23;Best mum in world :world_map:️:red_heart:️:smiling_face_with_smiling_eyes::pear:3>.;0.0
186;23;A foto do marrrrr! Uau!!!!;0.0
187;24;Musa! :purple_heart:;1.0
188;24;Beautiful blue eyes! :red_heart:️:red_heart:️:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;0.0
189;24;Lindaaaaaaaaaaa:sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart:;0.0
190;24;Bela:rose::rose::rose::rose::rose::rose::rose::rose::rose:;0.0
191;24;Deslumbrante:crown::sparkles::clapping_hands_light_skin_tone:;1.0
192;24;Rainha:star-struck::star-struck::star-struck::star-struck::star-struck::star-struck::star-struck::star-struck::star-struck::star-struck::star-struck:;0.0
193;24;Perfeita:sparkles::sparkles::sparkles::sparkles::sparkles::sparkles::sparkles::sparkles:;0.0
194;24;So pretty !:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
195;25;Que belo decote;0.0
196;25;Gostosa;0.0
197;25;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
198;25;:orange_heart::orange_heart::orange_heart:;1.0
199;25;:blue_heart:;1.0
200;25;:green_heart:;1.0
201;25;:clapping_hands::clapping_hands::clapping_hands::smiling_face_with_heart-eyes::red_heart::face_blowing_a_kiss::red_heart::smiling_face_with_sunglasses::victory_hand::squinting_face_with_tongue::fire::smiling_face_with_heart-eyes::fire::fire::fire::fire:GORGEUS:fire::fire::fire:;1.0
202;25;:fire::fire::clapping_hands:;1.0
203;25;I love:red_heart:️:red_heart:️:red_heart:️:red_heart:️;1.0
204;26;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:clapping_hands::clapping_hands::clapping_hands::clapping_hands:;1.0
205;26;:purple_heart::purple_heart::purple_heart:;1.0
206;26;:blue_heart:;1.0
207;26;:two_hearts:;1.0
208;26;Parabéns, maravilhosa! Deus te abençoe sempre! :red_heart:️:raising_hands:;0.0
209;26;I hope you make it to the new spice girls movie #SpiceGirla @spicegirls;0.0
210;26;:water_pistol:;1.0
211;26;Giii,  faz uma caridade e me segue para engajar meu trabalho com os animais, por favor, deusa do universo! :smiling_face_with_heart-eyes::woman_dancing_light_skin_tone::crown:;0.0
212;27;:hot_face::fire::fire::fire:;1.0
213;27;wowwwww get it!;0.0
214;27;Love that kitchen!!!!;0.0
215;27;@amberunraveled ahhhh thank you;0.0
216;28;Happy mom's day, Rhyan :red_heart:️:red_heart:️:red_heart:️:red_heart:️;0.0
217;28;I hope you had a wonderful Mother’s Day! :heart_suit:️:heart_suit:️;0.0
218;28;Happy Mother’s Day!;0.0
219;28;Happy Mother’s Day!! :cherry_blossom:;0.0
220;28;Happy Mother's Day, Rhyan!;0.0
221;28;HMD beautiful lady! Xo;1.0
222;28;Happy Mother’s Day :red_heart:️;0.0
223;28;Happy Mother’s Day;0.0
224;28;Happy Mother’s Day! :sparkling_heart::sparkles:;0.0
225;28;@yourbotoxbestie happy Mother’s Day to you too!!! :red_heart:️;0.0
226;29;Great pics! Looks like a fun weekend.;0.0
227;29;So adorable;0.0
228;29;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
229;29;:folded_hands::heart_suit:️:heart_suit:️;1.0
230;29;Wow you son looks a lot like by your husband. Man everyone is posting their kids today . My wife did too.. this a thing or? :United_States:;0.0
231;29;Lol whos got baby fever Carl or you  enjoy;0.0
232;30;I sincerely hope you could read my private message:);0.0
233;30;So pretty and elegant! Love your total look! :smiling_face_with_heart-eyes::white_heart:;1.0
234;30;Looking good :smiling_face_with_heart-eyes:;1.0
235;30;Those are super cute loafers;0.0
236;30;:smiling_face_with_heart-eyes::red_heart:️:fire::red_heart:️;1.0
237;30;I bought the Lululemon dress pants and they’ve changed my life!;1.0
238;30;:fire::fire::fire:beautiful happy lovely :clapping_hands::red_heart:️;1.0
239;30;Pretty @rhyancaminske! :fire::fire::fire::star-struck::star-struck::star-struck:;1.0
240;30;Send pic on :pinched_fingers:@paradise_pro_media:check_mark_button:2.9M;0.0
241;31;Hello, Hey I sent you a DM! If you could check your hidden requests it will be in there.;1.0
242;31;Soo deserving! :smiling_face_with_heart-eyes:;1.0
243;31;Well I’m jealous.;0.0
244;31;You go girl:fire::fire:;1.0
245;31;Love the shoes!!;0.0
246;31;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
247;31;You look incredible honey :two_hearts:;1.0
248;31;let’s collab  @yubamajewels :white_heart:;0.0
249;31;GGGIIIRRRLLL you look amazing :red_heart:️:fire: I hope you have a great Monday;1.0
250;31;Love the black! You off again? X;1.0
251;32;I sincerely hope you could read my private message:);0.0
252;32;What DC?! So close;1.0
253;32;Have fun Rhyan!!:grinning_face_with_smiling_eyes:;1.0
254;32;This hair is gorg!:sparkles:;1.0
255;32;Why im blushing:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:;1.0
256;32;Nice pic..!;1.0
257;32;:fire::fire:;1.0
258;32;Miss you already!!;0.0
259;32;Fiery duo @rhyancaminske and @heathercaminske! :fire::fire::fire::fire:;1.0
260;33;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::fire::fire:;1.0
261;33;gorgeous girl!:beating_heart:;1.0
262;33;My girl !!!!! No dates without us :women_holding_hands::men_holding_hands:;1.0
263;33;"Hey Pretty :star-struck:
Your beauty is Stunning :sparkles:
Perfectly fit to be our Jewelries Brand Ambassador. 
We would like to Collab and Sponsor you 
4 Jewelry pieces to Feature for FREE. 
Please check your message request
for the details :envelope_with_arrow:";1.0
264;33;Looking so gorgeous! Happy Friday :red_heart:️;1.0
265;33;Omg the hair on you too!:sparkles:;1.0
266;33;You are gorgeous :fire::fire::fire::fire::fire: nice pictures, Rhyan. Pretty ladies:red_heart:️;1.0
267;33;:fire::fire::fire: love that top!!;1.0
268;33;Looking so pretty!!;1.0
269;34;Thank you love you so much :smiling_face_with_hearts:;1.0
270;34;Happy Mother’s Day!!;0.0
271;34;Happy Mother's Day! Beautiful girls :red_heart:️;0.0
272;35;I’ll try these :face_with_open_mouth:;1.0
273;35;Love these ones too!! :clapping_hands:;1.0
274;35;"Omgosh my lower back has been such a problem for me for years now!!! I’m totally trying these!!
I need something that’s gonna make my abs SORE!!!";0.0
275;35;Nice work Ryan :flexed_biceps_medium-light_skin_tone: :clapping_hands_medium-light_skin_tone:;1.0
276;35;You're looking fantastic Rhyan;1.0
277;35;Promote it on:smiling_face_with_heart-eyes: @nycfam_;0.0
278;35;Was old mate in the background doing crack lifts :beaming_face_with_smiling_eyes:;1.0
279;35;"Incredible
 image, we  would certainly  like to work with you for
 a lot more  details message our main account in my
 biography";0.0
280;36;Gorgeous :smiling_face_with_heart-eyes:;1.0
281;36;and you boootyyyy :face_with_tears_of_joy::fire:;1.0
282;36;Your :peach: wtf. Getting plump :smiling_face_with_heart-eyes:;1.0
283;36;We’re so glad you’re feeling a difference! They are :sparkles:magic little pills!:seedling:;1.0
284;36;Gorgeous :smiling_face_with_heart-eyes:;1.0
285;36;Heу Rhyan, just sеnt yоu a dm, I think it еndеd up in the hiddеn requests :grinning_face_with_big_eyes:;1.0
286;37;Looks like a great time!:sparkles:;1.0
287;37;:red_heart:️;1.0
288;37;You look amazing;1.0
289;37;:fire:;1.0
290;37;𝐒𝐞𝐧𝐝 𝐘𝐨𝐮𝐫 𝐏𝐢𝐜:fire: @nova_.models;0.0
291;37;Send Your Pic:backhand_index_pointing_right: :check_mark_button:@fashion_models.ig;0.0
292;37;Pretty @rhyancaminske! :fire::fire::fire:;1.0
293;37;Gorgeous :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
294;38;I love that shirt :smiling_face_with_heart-eyes:;1.0
295;38;Such a model;0.0
296;38;ur so pretty:clapping_hands::fire:;1.0
297;38;Hey Rhyan, just sent yоu а dm, I think it endеd up in the hidden requеsts :grinning_face_with_big_eyes:;0.0
298;39;we almost got the same nose. your's is prettier tho :beaming_face_with_smiling_eyes:;1.0
299;39;A mais linda do Mundoooo..;0.0
300;39;Beatifull;0.0
301;39;:red_heart:️;1.0
302;39;Linda¡!!:red_heart:️ Siempre muy natural,delicada,sencilla,nunca artificial:clapping_hands::clapping_hands::red_heart:️:red_heart:️;0.0
303;39;Perfeitaaaa:red_heart:️;1.0
304;39;Wow this is so amazing!! You're well I'm just so short of words about your beauty.;0.0
305;39;Volta com o Tom Brady Giii :red_heart:️;1.0
306;40;A look! :raising_hands::heart_on_fire:;1.0
307;40;may i know where the parachute pants are from?? :smiling_face_with_heart-eyes:;1.0
308;40;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
309;40;That jacket :black_heart::black_heart:;1.0
310;40;@nho_journal Margiela :brown_heart:;0.0
311;41;Cute :smiling_face_with_heart-eyes:;1.0
312;41;1;0.0
313;41;4;0.0
314;41;Na 1;0.0
315;41;1 :smiling_face_with_heart-eyes:;0.0
316;41;Absolut 1 :hundred_points: :fire:;0.0
317;41;Five!!! In welchem Shop ist das denn?;1.0
318;41;:smiling_face_with_heart-eyes::star-struck::smiling_face_with_hearts: love them all;1.0
319;41;6;0.0
320;41;No. 1 :smiling_face_with_heart-eyes:;0.0
321;42;Ich mag Dich ja mit offenen Haaren :beating_heart:;1.0
322;42;:beaming_face_with_smiling_eyes:;1.0
323;42;Wow you paint? :smiling_face_with_heart-eyes: Ps : your hair look gorgeous don't let anyone tell you otherwise :smiling_face_with_hearts:;0.0
324;42;Cute :smiling_face_with_hearts:;1.0
325;42;:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:;1.0
326;42;Was ist das für eine Hose von Closed liebe Caro?;0.0
327;42;Beautiful mom :red_heart:️;1.0
328;42;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
329;42;8:red_heart:️;1.0
330;43;:fire::fire::fire:;1.0
331;43;:red_heart:️:red_heart:️:fire::fire:;1.0
332;43;:smiling_face_with_heart-eyes: Wie schön kann man sein;1.0
333;43;@carodaur where is the bikini from? Would you pls share? :folded_hands_light_skin_tone:;0.0
334;43;Yasssss proud of all your hard work Caro daur!!!;0.0
335;43;Çok güzel :smiling_face_with_heart-eyes:;1.0
336;43;:face_blowing_a_kiss::face_blowing_a_kiss::slightly_smiling_face::face_blowing_a_kiss:;0.0
337;43;What a picture! I have something good for u, dm me:fire: @carodaur;0.0
338;43;:fire:;1.0
339;43;unknown;0.0
340;44;Awesome that race track :smiling_face_with_sunglasses::red_heart:️:red_heart:️;1.0
341;44;:red_heart:️:hibiscus:🩵;1.0
342;44;:fire:;1.0
343;44;Beautiful your pair of trousers @camilacoelho .Where can i Buy one.I am from Uruguay.abrazo;0.0
344;44;Beauty;0.0
345;44;:fire::fire:;1.0
346;44;:fire::fire:;1.0
347;45;Beautiful :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
348;45;:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::raising_hands::red_heart::red_heart::red_heart::thumbs_up::OK_hand:;0.0
349;45;Happy Monday Ms Camila :red_heart:️:red_heart:️:red_heart:️:red_heart:️;0.0
350;45;:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:;0.0
351;45;:fire::fire:;1.0
352;45;:red_heart:️;1.0
353;45;Gorg:red_heart:️;1.0
354;45;Perfeita:red_heart:;1.0
355;45;:fire:;1.0
356;45;So gorgeous;0.0
357;46;:heart_on_fire::heart_on_fire::heart_on_fire: yessss;1.0
358;46;So gorgeous!;0.0
359;46;:fire::fire::fire:;1.0
360;46;Vibes;0.0
361;46;:clapping_hands::clapping_hands:;1.0
362;46;Beautiful :red_heart:️:red_heart:️;1.0
363;46;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
364;46;:star:️:heart_with_arrow:;1.0
365;46;Stunning;1.0
366;46;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
367;47;:fire::fire:;1.0
368;47;I so love this!;0.0
369;47;:red_heart:️;1.0
370;47;@ :red_heart:️;1.0
371;48;Beautiful my two baby’s!:red_heart:️:red_heart:️:red_heart:️mama love u guys forever :face_blowing_a_kiss:I love u sooo much u did good good job all family’s very proud of u we are so happy have teo:thumbs_up::two_hearts::smiling_face_with_heart-eyes::smiling_face_with_halo:;0.0
372;48;:red_heart:️:red_heart:️:red_heart:️;1.0
373;48;:folded_hands_light_skin_tone:;1.0
374;48;:smiling_face_with_heart-eyes:;1.0
375;48;Happy Mother’s Day 🩷🫶:light_skin_tone: XO to Teo;0.0
376;48;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
377;48;So Cute :smiling_face_with_hearts::smiling_face_with_hearts:;1.0
378;48;:black_heart::brown_heart::raising_hands_medium_skin_tone::bomb:🫶:medium_skin_tone::crown::heart_suit:️:white_heart::yellow_heart:;0.0
379;48;I love how Wonder Woman these bracelets are :woman_superhero_light_skin_tone:;1.0
380;48;Wanna see your wedding photo shoot so bad:crying_face:;1.0
381;49;:red_heart:️:red_heart:️:red_heart:️;1.0
382;49;Ai gente ele é muito bonitinho :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
383;49;:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:;0.0
384;49;:red_heart:️Das sind ganz faszinierende Aufnahmen:red_heart:️;1.0
385;49;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
386;49;Perfeccion :smiling_face_with_heart-eyes:;1.0
387;49;Camila! Para você também que agora é Mãe! E somos mamães todos os dias é maravilhoso ver esse pedacinho de pessoa crescer, virar gente como dizia minha Mãezinha ! Fique tranquila, tenho um de 40, já sou avó do Francisco, Uma moça formada em Direito de 25 e o caçula de 24, cursando TI, contratado pela HP! Então Menina o bom é que eles não deixam a gente envelhecer..hehehehe não sobra tempo, somos obrigadas a estar sempre em dia com tudo que interessa o mundo deles, é mesmo um presente e considero minha obra de Vida! Só Amor :red_heart:️:red_heart:️:red_heart:️:Brazil::Brazil::Brazil:Mil beijos;0.0
388;49;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️;1.0
389;49;You’re absolutely stunning;1.0
390;49;I wish I were pretty like this;0.0
391;50;Where are these pants from?;0.0
392;50;Amei sua calça, onde comprou?;1.0
393;50;Oglala:red_heart:️:raising_hands::fire:;1.0
394;50;Unique:OK_hand::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:;1.0
395;50;:smiling_face_with_heart-eyes:;1.0
396;50;Linda :smiling_face_with_heart-eyes:;1.0
397;50;Y'a la marque nickel (super!) :winking_face:;1.0
398;50;Le pantalon c'est combien ?;0.0
399;50;Camila mulher me empresta essa calça? queria ir vestida de christina aguilera numa festinha! te devolvo lavada e passada;0.0
400;50;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️;1.0
401;51;:two_hearts::hibiscus::collision:;1.0
402;51;:clapping_hands:;1.0
403;51;:smiling_face_with_hearts::red_heart:️;1.0
404;51;:red_heart:️:red_heart:️:red_heart:️;1.0
405;51;:purple_heart::purple_heart::purple_heart::purple_heart:;0.0
